experiment,num_sites,pop_ts_diversity,bt_standard_normal,jk_delete_one,jk_delete_mj
0,1000,0.14840228708882375,0.966,0.967,0.967
0,2000,0.14840228708882375,0.959,0.961,0.962
0,3000,0.14840228708882375,0.958,0.954,0.973
0,4000,0.14840228708882375,0.951,0.952,0.976
0,5000,0.14840228708882375,0.964,0.963,0.976
1,1000,0.1495097406891286,0.957,0.957,0.958
1,2000,0.1495097406891286,0.956,0.957,0.966
1,3000,0.1495097406891286,0.959,0.963,0.981
1,4000,0.1495097406891286,0.953,0.951,0.971
1,5000,0.1495097406891286,0.964,0.962,0.986
2,1000,0.14836671208629568,0.953,0.952,0.951
2,2000,0.14836671208629568,0.957,0.96,0.967
2,3000,0.14836671208629568,0.957,0.953,0.965
2,4000,0.14836671208629568,0.957,0.953,0.972
2,5000,0.14836671208629568,0.967,0.966,0.976
