experiment,exp_seed,pop_ind,pop_sites,pop_seed,obs_ind,obs_sites,num_observation,seq_len,rec_rate,mut_rate,population value,bt_sites_lower,bt_sites_within,bt_sites_above,jk_one_sites_lower,jk_one_sites_within,jk_one_sites_above,jk_mj_sites_lower,jk_mj_sites_within,jk_mj_sites_above,bt_ind_lower,bt_ind_within,bt_ind_above,jk_ind_lower,jk_ind_within,jk_ind_above
0,1,100,2434,1791095845,50,40,10,100000000.0,1e-08,1e-08,0.16377156943303203,1,9,0,1,9,0,1,9,0,4,4,2,4,4,2
0,1,100,2434,1791095845,50,154,10,100000000.0,1e-08,1e-08,0.16377156943303203,0,8,2,0,8,2,0,8,2,2,3,5,2,2,6
0,1,100,2434,1791095845,50,600,10,100000000.0,1e-08,1e-08,0.16377156943303203,0,10,0,0,10,0,0,10,0,0,9,1,0,10,0
0,1,100,2434,1791095845,50,2323,10,100000000.0,1e-08,1e-08,0.16377156943303203,1,9,0,1,9,0,0,10,0,1,9,0,1,9,0
0,1,100,2434,1791095845,50,2434,10,100000000.0,1e-08,1e-08,0.16377156943303203,1,9,0,1,9,0,0,10,0,0,10,0,0,10,0
1,1,100,2460,4282876139,50,40,10,100000000.0,1e-08,1e-08,0.1601991869918699,0,10,0,0,10,0,0,10,0,4,5,1,4,5,1
1,1,100,2460,4282876139,50,154,10,100000000.0,1e-08,1e-08,0.1601991869918699,0,10,0,0,10,0,0,10,0,1,5,4,1,5,4
1,1,100,2460,4282876139,50,600,10,100000000.0,1e-08,1e-08,0.1601991869918699,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
1,1,100,2460,4282876139,50,2323,10,100000000.0,1e-08,1e-08,0.1601991869918699,1,9,0,1,9,0,0,10,0,1,9,0,1,9,0
1,1,100,2460,4282876139,50,2460,10,100000000.0,1e-08,1e-08,0.1601991869918699,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
2,1,100,2482,3093770124,50,40,10,100000000.0,1e-08,1e-08,0.19098710717163578,1,8,1,1,8,1,0,9,1,2,5,3,2,5,3
2,1,100,2482,3093770124,50,154,10,100000000.0,1e-08,1e-08,0.19098710717163578,0,10,0,0,10,0,0,10,0,4,6,0,4,6,0
2,1,100,2482,3093770124,50,600,10,100000000.0,1e-08,1e-08,0.19098710717163578,1,9,0,1,9,0,0,10,0,2,7,1,2,7,1
2,1,100,2482,3093770124,50,2323,10,100000000.0,1e-08,1e-08,0.19098710717163578,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
2,1,100,2482,3093770124,50,2482,10,100000000.0,1e-08,1e-08,0.19098710717163578,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
3,1,100,2421,4005303368,50,40,10,100000000.0,1e-08,1e-08,0.16101197852127225,1,9,0,1,9,0,0,10,0,4,5,1,4,5,1
3,1,100,2421,4005303368,50,154,10,100000000.0,1e-08,1e-08,0.16101197852127225,0,10,0,0,10,0,0,10,0,3,6,1,3,6,1
3,1,100,2421,4005303368,50,600,10,100000000.0,1e-08,1e-08,0.16101197852127225,0,10,0,0,10,0,0,10,0,1,8,1,1,8,1
3,1,100,2421,4005303368,50,2323,10,100000000.0,1e-08,1e-08,0.16101197852127225,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
3,1,100,2421,4005303368,50,2421,10,100000000.0,1e-08,1e-08,0.16101197852127225,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
4,1,100,2177,491263,50,40,10,100000000.0,1e-08,1e-08,0.16144694533762055,0,10,0,0,10,0,0,10,0,3,4,3,3,4,3
4,1,100,2177,491263,50,154,10,100000000.0,1e-08,1e-08,0.16144694533762055,0,9,1,0,10,0,0,10,0,2,6,2,2,6,2
4,1,100,2177,491263,50,600,10,100000000.0,1e-08,1e-08,0.16144694533762055,1,9,0,1,9,0,0,9,1,3,6,1,3,6,1
4,1,100,2177,491263,50,2177,10,100000000.0,1e-08,1e-08,0.16144694533762055,0,10,0,0,10,0,0,10,0,1,9,0,1,9,0
4,1,100,2177,491263,50,2177,10,100000000.0,1e-08,1e-08,0.16144694533762055,0,10,0,0,10,0,0,10,0,0,10,0,0,10,0
