n_inds,n_sites,pop_ts_diversity,normal,quantile,bias,jk,jk_block
10,1000,0.1489544205114954,0.944,0.942,0.946,0.942,0.926
10,1500,0.1489544205114954,0.954,0.95,0.956,0.952,0.958
10,2000,0.1489544205114954,0.948,0.948,0.95,0.952,0.944
10,2500,0.1489544205114954,0.944,0.948,0.942,0.944,0.948
10,3000,0.1489544205114954,0.936,0.932,0.938,0.94,0.95
10,3500,0.1489544205114954,0.95,0.952,0.946,0.95,0.966
10,4000,0.1489544205114954,0.944,0.946,0.948,0.95,0.97
10,4500,0.1489544205114954,0.946,0.946,0.946,0.946,0.962
10,5000,0.1489544205114954,0.956,0.946,0.956,0.95,0.98
15,1000,0.1489544205114954,0.94,0.944,0.94,0.94,0.924
15,1500,0.1489544205114954,0.956,0.96,0.952,0.956,0.946
15,2000,0.1489544205114954,0.95,0.944,0.946,0.952,0.956
15,2500,0.1489544205114954,0.938,0.934,0.936,0.938,0.946
15,3000,0.1489544205114954,0.946,0.946,0.944,0.946,0.956
15,3500,0.1489544205114954,0.952,0.948,0.956,0.95,0.954
15,4000,0.1489544205114954,0.93,0.932,0.932,0.93,0.942
15,4500,0.1489544205114954,0.968,0.968,0.966,0.962,0.968
15,5000,0.1489544205114954,0.944,0.946,0.944,0.944,0.962
20,1000,0.1489544205114954,0.948,0.948,0.948,0.948,0.922
20,1500,0.1489544205114954,0.93,0.932,0.934,0.936,0.926
20,2000,0.1489544205114954,0.946,0.944,0.944,0.948,0.946
20,2500,0.1489544205114954,0.962,0.958,0.962,0.962,0.958
20,3000,0.1489544205114954,0.95,0.948,0.952,0.948,0.956
20,3500,0.1489544205114954,0.96,0.946,0.96,0.954,0.964
20,4000,0.1489544205114954,0.95,0.952,0.952,0.952,0.958
20,4500,0.1489544205114954,0.974,0.974,0.972,0.972,0.99
20,5000,0.1489544205114954,0.966,0.962,0.966,0.966,0.982
25,1000,0.1489544205114954,0.958,0.96,0.956,0.958,0.938
25,1500,0.1489544205114954,0.956,0.958,0.96,0.96,0.946
25,2000,0.1489544205114954,0.962,0.964,0.962,0.96,0.952
25,2500,0.1489544205114954,0.968,0.958,0.964,0.962,0.964
25,3000,0.1489544205114954,0.972,0.974,0.972,0.972,0.974
25,3500,0.1489544205114954,0.948,0.956,0.948,0.95,0.96
25,4000,0.1489544205114954,0.956,0.956,0.956,0.956,0.964
25,4500,0.1489544205114954,0.966,0.968,0.966,0.968,0.976
25,5000,0.1489544205114954,0.966,0.96,0.964,0.966,0.98
30,1000,0.1489544205114954,0.96,0.96,0.96,0.96,0.94
30,1500,0.1489544205114954,0.968,0.97,0.966,0.966,0.962
30,2000,0.1489544205114954,0.97,0.97,0.97,0.972,0.976
30,2500,0.1489544205114954,0.964,0.958,0.962,0.96,0.958
30,3000,0.1489544205114954,0.95,0.944,0.95,0.948,0.962
30,3500,0.1489544205114954,0.962,0.962,0.96,0.958,0.97
30,4000,0.1489544205114954,0.942,0.936,0.938,0.94,0.958
30,4500,0.1489544205114954,0.96,0.958,0.962,0.958,0.976
30,5000,0.1489544205114954,0.948,0.952,0.95,0.948,0.968
35,1000,0.1489544205114954,0.956,0.952,0.96,0.954,0.928
35,1500,0.1489544205114954,0.93,0.93,0.936,0.936,0.942
35,2000,0.1489544205114954,0.938,0.946,0.94,0.938,0.944
35,2500,0.1489544205114954,0.944,0.944,0.944,0.946,0.966
35,3000,0.1489544205114954,0.964,0.96,0.964,0.966,0.966
35,3500,0.1489544205114954,0.94,0.938,0.938,0.936,0.95
35,4000,0.1489544205114954,0.958,0.958,0.958,0.958,0.964
35,4500,0.1489544205114954,0.952,0.952,0.95,0.954,0.968
35,5000,0.1489544205114954,0.96,0.962,0.958,0.964,0.968
40,1000,0.1489544205114954,0.952,0.95,0.95,0.95,0.922
40,1500,0.1489544205114954,0.948,0.946,0.946,0.952,0.938
40,2000,0.1489544205114954,0.958,0.958,0.958,0.958,0.954
40,2500,0.1489544205114954,0.966,0.962,0.966,0.966,0.966
40,3000,0.1489544205114954,0.934,0.938,0.928,0.94,0.936
40,3500,0.1489544205114954,0.95,0.95,0.946,0.956,0.968
40,4000,0.1489544205114954,0.948,0.946,0.95,0.952,0.962
40,4500,0.1489544205114954,0.976,0.972,0.976,0.974,0.976
40,5000,0.1489544205114954,0.956,0.96,0.956,0.958,0.978
45,1000,0.1489544205114954,0.954,0.954,0.956,0.952,0.95
45,1500,0.1489544205114954,0.97,0.968,0.968,0.968,0.964
45,2000,0.1489544205114954,0.946,0.948,0.946,0.946,0.93
45,2500,0.1489544205114954,0.952,0.954,0.952,0.954,0.954
45,3000,0.1489544205114954,0.956,0.958,0.956,0.958,0.962
45,3500,0.1489544205114954,0.934,0.93,0.93,0.932,0.93
45,4000,0.1489544205114954,0.962,0.96,0.964,0.96,0.97
45,4500,0.1489544205114954,0.964,0.962,0.962,0.962,0.972
45,5000,0.1489544205114954,0.954,0.954,0.954,0.956,0.964
50,1000,0.1489544205114954,0.958,0.954,0.96,0.958,0.93
50,1500,0.1489544205114954,0.956,0.96,0.956,0.964,0.952
50,2000,0.1489544205114954,0.954,0.956,0.954,0.95,0.954
50,2500,0.1489544205114954,0.95,0.95,0.95,0.95,0.954
50,3000,0.1489544205114954,0.96,0.956,0.964,0.958,0.96
50,3500,0.1489544205114954,0.958,0.958,0.962,0.958,0.968
50,4000,0.1489544205114954,0.954,0.948,0.952,0.958,0.97
50,4500,0.1489544205114954,0.952,0.952,0.95,0.954,0.962
50,5000,0.1489544205114954,0.976,0.974,0.976,0.976,0.982
